Week,ASP*,Total Volume,4046,4225,4770,Total Bagged,Sml Bagged,Lrg Bagged,XLrg Bagged,region,type,year
12/25/2016,$1.00,30287854,9255125,10282926,541972,10207830,7709584,2417145,81101,TOTAL U.S.,Conventional,2016
12/18/2016,$0.96,29583883,9394066,10339168,427872,9422776,6970320,2358444,94012,TOTAL U.S.,Conventional,2016
12/11/2016,$0.98,30093541,9009996,9967220,403048,10713277,8149439,2490495,73343,TOTAL U.S.,Conventional,2016
12/4/2016,$1.00,31621222,11043351,9908983,428010,10240878,7187023,2988505,65351,TOTAL U.S.,Conventional,2016
11/27/2016,$1.21,22923063,7891488,7337342,344476,7349757,5691267,1609867,48623,TOTAL U.S.,Conventional,2016
11/20/2016,$1.27,24989703,8531161,8033511,407568,8017464,6207080,1765674,44709,TOTAL U.S.,Conventional,2016
11/13/2016,$1.36,24075126,8235135,7759608,477521,7602862,5602594,1957164,43104,TOTAL U.S.,Conventional,2016
11/6/2016,$1.44,22534698,7804253,7126936,505349,7098160,5245067,1812174,40919,TOTAL U.S.,Conventional,2016
10/30/2016,$1.43,21009730,7100459,6852046,453145,6604080,4655046,1882751,66284,TOTAL U.S.,Conventional,2016
10/23/2016,$1.34,24753514,7579629,8104522,452384,8616979,6508667,2016513,91799,TOTAL U.S.,Conventional,2016
10/16/2016,$1.30,27707047,8810664,8855073,447291,9594018,6934369,2575096,84553,TOTAL U.S.,Conventional,2016
10/9/2016,$1.27,28857582,9552502,9579339,490957,9234784,6849127,2316378,69279,TOTAL U.S.,Conventional,2016
10/2/2016,$1.23,29615008,9534916,9123898,490123,10466072,7408766,2981276,76031,TOTAL U.S.,Conventional,2016
9/25/2016,$1.22,30305113,10548061,9255914,492604,10008534,7440445,2476401,91688,TOTAL U.S.,Conventional,2016
9/18/2016,$1.15,31346091,11337829,9481313,486187,10040762,7649502,2311263,79997,TOTAL U.S.,Conventional,2016
9/11/2016,$1.08,34126731,12962763,10380438,512160,10271370,8199581,2016485,55304,TOTAL U.S.,Conventional,2016
9/4/2016,$1.04,37130689,14643466,11083513,540681,10863029,8555284,2214419,93326,TOTAL U.S.,Conventional,2016
8/28/2016,$1.09,33993931,12561056,10420973,563739,10448164,8503871,1785022,159271,TOTAL U.S.,Conventional,2016
8/21/2016,$1.10,33592098,12725249,9906499,609721,10350629,8749239,1446381,155009,TOTAL U.S.,Conventional,2016
8/14/2016,$1.12,34386177,12352933,10879342,749247,10404656,8479507,1813211,111939,TOTAL U.S.,Conventional,2016
8/7/2016,$1.15,33819909,12197105,10731380,754549,10136876,8386276,1569550,181049,TOTAL U.S.,Conventional,2016
7/31/2016,$1.23,31201590,10168972,10423958,783937,9824723,8193011,1431745,199967,TOTAL U.S.,Conventional,2016
7/24/2016,$1.20,32339377,10331314,10795751,947964,10264348,8315739,1561209,387400,TOTAL U.S.,Conventional,2016
7/17/2016,$1.15,32656124,10320463,10628873,953631,10753156,8737861,1624816,390479,TOTAL U.S.,Conventional,2016
7/10/2016,$1.10,35567568,11457080,11677528,1266434,11166526,8984514,1727669,454344,TOTAL U.S.,Conventional,2016
7/3/2016,$1.06,39993186,12508937,13315901,1761343,12407004,9967538,1887772,551694,TOTAL U.S.,Conventional,2016
6/26/2016,$1.04,36617024,12189035,12029919,1624942,10773128,8834970,1609569,328589,TOTAL U.S.,Conventional,2016
6/19/2016,$1.02,38489936,13488852,12842698,1642736,10515651,8223281,1975351,317019,TOTAL U.S.,Conventional,2016
6/12/2016,$1.04,35580820,12291687,11533970,1607344,10147819,8039866,1796514,311440,TOTAL U.S.,Conventional,2016
6/5/2016,$0.97,40231260,13808859,13396652,1770948,11254801,8492744,2441023,321033,TOTAL U.S.,Conventional,2016
5/29/2016,$0.94,40019075,13682611,13829591,1583496,10923377,8085657,2657599,180121,TOTAL U.S.,Conventional,2016
5/22/2016,$0.93,36958036,11712000,12981224,1640829,10623982,7835766,2563224,224992,TOTAL U.S.,Conventional,2016
5/15/2016,$0.89,39914997,12447598,14437190,1753853,11276356,7987029,3143280,146047,TOTAL U.S.,Conventional,2016
5/8/2016,$0.82,46324530,14223305,17896392,1993645,12211188,8747757,3342781,120650,TOTAL U.S.,Conventional,2016
5/1/2016,$0.84,42867609,13748944,15899858,1414364,11804441,8376124,3365582,62735,TOTAL U.S.,Conventional,2016
4/24/2016,$0.87,39607695,12913697,14382185,1599864,10711949,7835836,2801103,75011,TOTAL U.S.,Conventional,2016
4/17/2016,$0.90,37467885,11954488,12896367,1896150,10720882,8128710,2467002,125169,TOTAL U.S.,Conventional,2016
4/10/2016,$0.90,36584029,12879820,11538132,1666275,10499801,7808771,2613293,77737,TOTAL U.S.,Conventional,2016
4/3/2016,$0.94,33668451,11320970,11512622,1731910,9102948,6830380,2213379,59189,TOTAL U.S.,Conventional,2016
3/27/2016,$0.94,35930196,11249198,12745267,1880231,10055499,7745105,2228008,82386,TOTAL U.S.,Conventional,2016
3/20/2016,$0.93,36335484,11134391,13727454,1773089,9700550,7248858,2374054,77639,TOTAL U.S.,Conventional,2016
3/13/2016,$0.93,36374516,11661687,13104888,1800066,9807875,7231163,2521124,55589,TOTAL U.S.,Conventional,2016
3/6/2016,$0.95,35064506,11824155,12196587,1686475,9357289,7502570,1747904,106815,TOTAL U.S.,Conventional,2016
2/28/2016,$0.91,36801818,11907395,13210855,1560168,10123401,7251667,2802239,69495,TOTAL U.S.,Conventional,2016
2/21/2016,$0.94,32804733,10015825,12003752,1375260,9409896,7213493,2150749,45654,TOTAL U.S.,Conventional,2016
2/14/2016,$0.88,36476442,11913078,13187973,1811091,9564300,7102422,2387456,74422,TOTAL U.S.,Conventional,2016
2/7/2016,$0.76,52288698,16573574,20470573,2546439,12698112,9083373,3373078,241661,TOTAL U.S.,Conventional,2016
1/31/2016,$0.93,34721250,11098088,13278054,1643703,8701405,6684515,1823890,193000,TOTAL U.S.,Conventional,2016
1/24/2016,$0.95,32787079,7020459,14054368,1440380,10271872,7438490,2668368,165015,TOTAL U.S.,Conventional,2016
1/17/2016,$0.94,34426342,10036598,13832256,1419406,9138082,6846324,2228421,63337,TOTAL U.S.,Conventional,2016
