Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Orlando,Weekly,"2021-01-04 00:00:00",Conventional,0.743142714,616300.15,249065.14,20526.00,113.01,200435.50,177982.37,10417.05,11774.70,146160.51
Peoria/Springfield,Weekly,"2021-01-04 00:00:00",Conventional,0.751966471,145676.64,37699.85,36896.36,519.80,33953.89,28232.29,3403.18,2009.47,36606.74
Philadelphia,Weekly,"2021-01-04 00:00:00",Conventional,0.896888099,675275.07,122215.74,214191.28,226.32,288538.82,278756.57,6092.10,1433.25,50102.91
Phoenix/Tucson,Weekly,"2021-01-04 00:00:00",Conventional,0.571119901,1701160.90,461850.12,253224.16,4792.35,144504.37,108185.17,59.85,27611.60,836789.90
Pittsburgh,Weekly,"2021-01-04 00:00:00",Conventional,0.932001981,143064.62,44584.19,11210.54,0.94,34234.47,30734.04,1367.10,2044.35,53034.47
Portland,Weekly,"2021-01-04 00:00:00",Conventional,0.984592030,828617.98,110538.78,151228.41,9920.78,104731.05,91231.35,6795.08,5654.42,452198.96
Providence,Weekly,"2021-01-04 00:00:00",Conventional,1.371328321,75632.89,2515.17,45827.29,15.95,17220.26,13767.94,3379.55,0.00,10054.22
Raleigh/Greensboro,Weekly,"2021-01-04 00:00:00",Conventional,0.935230025,493310.41,197659.02,80901.95,4258.07,182094.41,132819.91,17227.61,182.70,28396.96
Richmond/Norfolk,Weekly,"2021-01-04 00:00:00",Conventional,0.919895738,341418.61,103356.09,71228.13,907.17,81838.06,52917.90,111.96,11403.96,84089.16
Roanoke,Weekly,"2021-01-04 00:00:00",Conventional,0.825133392,206936.66,66026.79,30421.04,40.58,43360.72,27998.96,4227.96,4378.39,67087.53
Sacramento,Weekly,"2021-01-04 00:00:00",Conventional,1.016587539,586351.78,156627.51,231859.44,5628.47,95252.88,93951.47,985.56,0.00,96983.48
"San Diego",Weekly,"2021-01-04 00:00:00",Conventional,0.967494964,627265.00,114429.33,34766.51,22946.44,96059.01,84712.89,6709.50,4139.98,359063.71
"San Francisco",Weekly,"2021-01-04 00:00:00",Conventional,1.231064142,929856.91,261890.33,190107.26,9669.63,139821.83,139023.88,612.94,0.00,328367.85
Seattle,Weekly,"2021-01-04 00:00:00",Conventional,1.045812371,727908.15,80658.03,160889.06,292.22,71303.30,64168.80,5056.80,1089.30,414765.54
"South Carolina",Weekly,"2021-01-04 00:00:00",Conventional,0.841921966,566934.96,233586.35,57096.80,1390.62,163549.46,128998.07,20797.35,784.85,111311.72
Spokane,Weekly,"2021-01-04 00:00:00",Conventional,0.880219949,102105.15,18703.11,21553.10,26.60,13509.33,11021.34,2299.63,65.26,48313.01
"St. Louis",Weekly,"2021-01-04 00:00:00",Conventional,0.771893680,260282.81,126383.81,11806.46,42.50,64029.38,57324.35,6353.94,0.00,58020.66
Syracuse,Weekly,"2021-01-04 00:00:00",Conventional,1.125238864,96019.57,10394.61,47725.88,707.64,33756.90,30907.28,2642.85,0.00,3434.55
Tampa,Weekly,"2021-01-04 00:00:00",Conventional,0.743520003,646137.76,258312.56,29575.77,12.61,181338.38,162385.60,765.71,17895.15,176898.44
Toledo,Weekly,"2021-01-04 00:00:00",Conventional,0.777138736,170528.35,27093.78,35128.92,18452.77,25310.31,20967.68,1281.53,2708.04,64542.58
"West Tex/New Mexico",Weekly,"2021-01-04 00:00:00",Conventional,0.617190119,994342.09,307507.02,205591.04,20367.81,267345.80,227726.08,7792.16,31290.72,193530.43
Wichita,Weekly,"2021-01-04 00:00:00",Conventional,0.706417134,124088.68,30657.29,6300.59,10.92,31240.94,26379.68,2889.47,1257.42,55878.94
California,Weekly,"2021-01-04 00:00:00",Conventional,0.991030549,7261522.15,2011888.77,811603.22,269542.45,1168833.06,1063119.07,36473.59,42535.36,2999654.65
"Great Lakes",Weekly,"2021-01-04 00:00:00",Conventional,0.863859431,4767200.53,733876.45,1065056.49,450674.37,874548.76,780579.11,29880.02,57567.54,1643044.46
Midsouth,Weekly,"2021-01-04 00:00:00",Conventional,0.910548910,4336569.06,1396050.13,771079.52,16438.82,1387271.24,1098269.69,91810.43,54601.80,765729.36
Northeast,Weekly,"2021-01-04 00:00:00",Conventional,1.059885724,5841773.93,492276.14,3207514.64,7181.81,1762620.14,1658935.14,87036.73,11983.13,372181.20
Plains,Weekly,"2021-01-04 00:00:00",Conventional,0.785545678,2371391.81,690005.80,788953.19,1405.99,559893.79,462143.15,41676.91,44420.12,331133.04
"South Central",Weekly,"2021-01-04 00:00:00",Conventional,0.619392800,6636434.60,2712266.15,1162292.76,163523.72,1491236.83,1279141.89,103213.95,101861.02,1107115.14
Southeast,Weekly,"2021-01-04 00:00:00",Conventional,0.769493386,5670398.93,2436409.73,306664.15,2344.43,1508427.19,1308786.55,105673.05,72003.78,1416553.43
West,Weekly,"2021-01-04 00:00:00",Conventional,0.790531800,8503509.75,1768308.32,1302797.27,36253.34,1335466.97,1060229.46,64432.14,113399.67,4060683.85
"Total U.S.",Weekly,"2021-01-04 00:00:00",Conventional,0.848532623,45388800.75,12241081.49,9415961.22,947364.93,10088297.98,8711204.06,560196.82,498372.41,12696095.12
Albany,Weekly,"2021-01-04 00:00:00",Organic,1.611081563,2726.21,57.84,391.37,10.21,2117.76,2049.18,0.00,0.00,149.03
Atlanta,Weekly,"2021-01-04 00:00:00",Organic,1.358807493,31182.76,81.84,3103.74,0.00,11952.26,11952.26,0.00,0.00,16044.93
Baltimore/Washington,Weekly,"2021-01-04 00:00:00",Organic,1.321226904,70010.93,582.56,3440.00,0.00,63143.03,62531.44,0.00,6.30,2845.34
Birmingham/Montgomery,Weekly,"2021-01-04 00:00:00",Organic,1.156438680,10587.92,27.75,192.96,0.00,9580.48,8750.49,830.00,0.00,786.73
Boise,Weekly,"2021-01-04 00:00:00",Organic,1.618928178,6168.82,4.57,1013.99,0.00,1711.50,1711.50,0.00,0.00,3438.76
Boston,Weekly,"2021-01-04 00:00:00",Organic,1.744718951,29356.74,67.84,3467.76,0.00,24877.07,24793.13,0.00,0.00,944.07
Buffalo/Rochester,Weekly,"2021-01-04 00:00:00",Organic,1.510175604,11888.39,826.08,133.58,5.57,10923.16,10923.16,0.00,0.00,0.00
Charlotte,Weekly,"2021-01-04 00:00:00",Organic,1.407511025,20403.92,98.93,3826.03,19.28,8142.02,8142.02,0.00,0.00,8317.67
Chicago,Weekly,"2021-01-04 00:00:00",Organic,1.853303253,41476.10,482.59,2923.76,0.00,17347.53,17087.13,235.20,25.20,20722.23
Cincinnati/Dayton,Weekly,"2021-01-04 00:00:00",Organic,1.437804687,14369.56,362.52,2388.78,0.00,2397.97,2130.22,267.75,0.00,9220.29
Columbus,Weekly,"2021-01-04 00:00:00",Organic,1.445072838,9147.54,550.43,1002.89,0.00,2443.31,2197.72,245.59,0.00,5150.91
"Dallas/Ft. Worth",Weekly,"2021-01-04 00:00:00",Organic,1.369960118,42177.31,4010.78,80.10,240.29,25757.86,25757.86,0.00,0.00,12088.29
Denver,Weekly,"2021-01-04 00:00:00",Organic,1.327991174,39697.08,3864.64,905.81,0.00,11222.93,11222.93,0.00,0.00,23703.70
Detroit,Weekly,"2021-01-04 00:00:00",Organic,1.178321750,21800.31,270.69,2072.57,0.00,13910.10,13856.61,50.35,3.15,5546.95
"Grand Rapids",Weekly,"2021-01-04 00:00:00",Organic,1.309964355,5338.65,51.15,1828.49,0.00,3459.01,3301.70,154.16,3.15,0.00
Harrisburg/Scranton,Weekly,"2021-01-04 00:00:00",Organic,1.272433591,18160.05,381.70,419.76,0.00,17353.87,16918.33,0.00,9.45,4.72
Hartford/Springfield,Weekly,"2021-01-04 00:00:00",Organic,1.439812404,21923.44,328.06,13193.10,0.00,8379.94,7925.30,0.00,0.00,22.34
Houston,Weekly,"2021-01-04 00:00:00",Organic,1.414764151,14296.56,5711.98,12.18,0.00,2649.81,2649.81,0.00,0.00,5922.60
Indianapolis,Weekly,"2021-01-04 00:00:00",Organic,1.328730429,7550.65,129.23,775.63,0.00,3666.18,3050.10,616.08,0.00,2979.62
Jacksonville,Weekly,"2021-01-04 00:00:00",Organic,1.060717542,11909.16,39.48,270.69,2.11,11563.84,11563.84,0.00,0.00,33.04
"Las Vegas",Weekly,"2021-01-04 00:00:00",Organic,1.460813565,14143.53,520.66,314.07,0.00,5871.73,5871.73,0.00,0.00,7437.06
"Los Angeles",Weekly,"2021-01-04 00:00:00",Organic,1.476357591,133460.72,6730.32,2941.21,5.60,42370.78,41081.38,1289.40,0.00,81412.80
Louisville,Weekly,"2021-01-04 00:00:00",Organic,1.426875862,5234.38,18.18,726.92,0.00,1082.40,958.21,124.19,0.00,3406.88
"Miami/Ft. Lauderdale",Weekly,"2021-01-04 00:00:00",Organic,1.047628986,36000.31,155.69,0.00,0.00,34872.42,34872.42,0.00,0.00,972.20
Nashville,Weekly,"2021-01-04 00:00:00",Organic,1.331685329,12153.00,42.70,847.21,0.00,6077.79,6077.79,0.00,0.00,5185.30
"Northern New England",Weekly,"2021-01-04 00:00:00",Organic,1.804586444,14617.10,48.38,541.84,0.00,12526.54,12334.75,0.00,0.00,1500.33
"New Orleans/Mobile",Weekly,"2021-01-04 00:00:00",Organic,1.028219540,10405.54,55.23,0.00,0.00,9859.26,7460.10,2399.15,0.00,491.06
"New York",Weekly,"2021-01-04 00:00:00",Organic,1.673763812,93505.02,9795.13,9255.51,2.99,67797.17,62871.57,0.00,0.00,6654.22
Orlando,Weekly,"2021-01-04 00:00:00",Organic,1.031874725,27442.47,153.41,0.00,0.00,27146.26,27146.26,0.00,0.00,142.80
Peoria/Springfield,Weekly,"2021-01-04 00:00:00",Organic,1.546732929,3521.25,24.93,464.05,0.00,1962.48,1959.33,0.00,3.15,1069.79
Philadelphia,Weekly,"2021-01-04 00:00:00",Organic,1.624902291,25940.67,1654.30,2412.23,0.00,18827.09,16991.81,0.00,0.00,3047.04
Phoenix/Tucson,Weekly,"2021-01-04 00:00:00",Organic,1.138588493,39632.50,2662.66,9723.83,0.00,16348.16,16343.51,0.00,0.00,10897.86
Pittsburgh,Weekly,"2021-01-04 00:00:00",Organic,1.399074316,10138.92,1990.97,5.63,0.00,7473.12,7463.67,0.00,9.45,669.20
Portland,Weekly,"2021-01-04 00:00:00",Organic,1.398070414,66597.39,2382.85,13354.17,0.00,5470.05,4562.38,0.00,0.00,45390.32
Providence,Weekly,"2021-01-04 00:00:00",Organic,1.929333708,3493.99,8.27,5.20,0.00,3471.42,3471.42,0.00,0.00,9.10
Raleigh/Greensboro,Weekly,"2021-01-04 00:00:00",Organic,1.341019184,25420.12,739.94,3156.93,55.31,9347.26,9347.26,0.00,0.00,12120.68
Richmond/Norfolk,Weekly,"2021-01-04 00:00:00",Organic,0.987195866,31593.50,11.64,1569.69,2.19,23755.94,23755.94,0.00,0.00,6254.04
Roanoke,Weekly,"2021-01-04 00:00:00",Organic,1.051833187,12232.56,11.69,1381.97,0.00,7484.18,7484.18,0.00,0.00,3354.73
Sacramento,Weekly,"2021-01-04 00:00:00",Organic,1.818709970,21674.06,2353.73,2598.25,0.00,12958.63,12539.68,0.00,0.00,3763.45
"San Diego",Weekly,"2021-01-04 00:00:00",Organic,1.398038612,36998.99,995.13,1394.39,1.43,15875.67,15624.24,0.00,0.00,18732.37
"San Francisco",Weekly,"2021-01-04 00:00:00",Organic,1.979044900,78335.50,2886.58,5923.46,1.34,47695.33,46566.09,0.00,0.00,21828.80
Seattle,Weekly,"2021-01-04 00:00:00",Organic,1.715108486,76140.32,1144.13,14745.92,0.00,14733.02,11551.71,0.00,0.00,45517.24
"South Carolina",Weekly,"2021-01-04 00:00:00",Organic,1.306218082,26311.11,960.54,2790.93,73.17,14482.69,14482.69,0.00,0.00,8003.78
Spokane,Weekly,"2021-01-04 00:00:00",Organic,1.758214855,4338.74,72.07,874.40,0.00,875.18,875.18,0.00,0.00,2517.09
"St. Louis",Weekly,"2021-01-04 00:00:00",Organic,1.862468434,6086.69,770.76,945.56,0.00,3044.49,3044.49,0.00,0.00,1325.88
Syracuse,Weekly,"2021-01-04 00:00:00",Organic,1.587223926,3178.57,233.31,141.56,0.00,2748.87,2741.00,0.00,0.00,54.82
Tampa,Weekly,"2021-01-04 00:00:00",Organic,0.913033408,27671.31,118.25,0.00,0.00,27375.61,27375.61,0.00,0.00,177.45
Toledo,Weekly,"2021-01-04 00:00:00",Organic,1.395370765,3741.88,76.79,512.18,0.00,1223.21,1158.35,64.85,0.00,1929.71
"West Tex/New Mexico",Weekly,"2021-01-04 00:00:00",Organic,1.046033452,31067.69,813.93,620.87,2015.57,21445.20,21445.20,0.00,0.00,6172.11
Wichita,Weekly,"2021-01-04 00:00:00",Organic,1.362169698,2548.94,307.41,13.11,0.00,979.13,979.13,0.00,0.00,1249.30
California,Weekly,"2021-01-04 00:00:00",Organic,1.648762384,333216.18,17130.92,19335.72,12.87,149804.87,142761.86,1289.40,0.00,146931.79
"Great Lakes",Weekly,"2021-01-04 00:00:00",Organic,1.505937576,156469.36,5986.13,17476.31,0.00,70705.31,68290.31,2337.16,63.00,62301.61
Midsouth,Weekly,"2021-01-04 00:00:00",Organic,1.253645806,250974.17,2342.23,22897.27,121.49,157809.77,156828.06,96.09,6.30,67803.41
Northeast,Weekly,"2021-01-04 00:00:00",Organic,1.603831110,255627.24,16936.73,33617.68,20.00,191668.41,182575.20,0.00,28.35,13384.42
Plains,Weekly,"2021-01-04 00:00:00",Organic,1.405435215,44473.78,6762.16,2501.92,51.73,30107.74,28343.33,1747.83,3.15,5050.24
"South Central",Weekly,"2021-01-04 00:00:00",Organic,1.283569109,132420.25,15411.84,1023.95,1514.01,88955.23,86973.19,1982.04,0.00,25515.21
Southeast,Weekly,"2021-01-04 00:00:00",Organic,1.118705466,224379.03,1910.74,8546.41,86.42,181994.57,179599.35,2395.22,0.00,31840.88
West,Weekly,"2021-01-04 00:00:00",Organic,1.419538318,371206.39,17654.58,54582.11,1117.42,101103.89,95752.22,0.00,0.00,196748.39
"Total U.S.",Weekly,"2021-01-04 00:00:00",Organic,1.424763796,1768766.39,84135.34,159981.37,2923.94,972149.80,941123.52,9847.74,100.80,549575.96
Albany,Weekly,"2021-01-10 00:00:00",Conventional,1.249703960,139381.50,7066.68,98488.83,31.19,28933.96,25932.01,2753.10,0.00,4860.84
Atlanta,Weekly,"2021-01-10 00:00:00",Conventional,0.861293640,809439.03,318074.35,39660.41,28.65,182834.27,165086.61,12736.37,2060.95,268841.35
Baltimore/Washington,Weekly,"2021-01-10 00:00:00",Conventional,1.216062692,962713.20,186130.62,286565.86,3214.55,390787.05,362429.87,12.60,17239.95,96015.12
Birmingham/Montgomery,Weekly,"2021-01-10 00:00:00",Conventional,0.788203932,366703.01,174279.27,9709.83,10.39,108187.59,92072.99,12360.86,3245.57,74515.93
Boise,Weekly,"2021-01-10 00:00:00",Conventional,1.027934500,140710.78,39036.24,12242.59,1237.77,33466.97,27681.97,0.00,121.49,54727.21
Boston,Weekly,"2021-01-10 00:00:00",Conventional,1.300577011,680682.33,16845.69,371302.52,103.66,170571.56,147862.36,21679.93,0.00,121858.91
Buffalo/Rochester,Weekly,"2021-01-10 00:00:00",Conventional,1.020786727,220455.13,22688.46,63209.55,2591.89,127677.98,122794.87,3820.95,989.10,4287.25
Charlotte,Weekly,"2021-01-10 00:00:00",Conventional,0.948615016,386885.50,151053.95,47099.97,3711.58,152450.25,115974.49,14927.06,0.00,32569.75
Chicago,Weekly,"2021-01-10 00:00:00",Conventional,1.205289075,891300.39,134157.02,127857.38,44325.49,267653.14,256075.46,1492.71,9283.05,317307.35
Cincinnati/Dayton,Weekly,"2021-01-10 00:00:00",Conventional,0.912506911,331280.49,59355.77,54227.92,3503.96,38841.32,32318.14,291.90,4253.65,175351.52
Columbus,Weekly,"2021-01-10 00:00:00",Conventional,0.897684370,259333.98,52517.59,38836.60,406.35,51343.63,44748.84,3.15,5272.87,116229.82
"Dallas/Ft. Worth",Weekly,"2021-01-10 00:00:00",Conventional,0.600230002,1936486.22,589484.81,197950.35,11337.27,723046.67,669282.61,638.40,50954.85,414667.13
Denver,Weekly,"2021-01-10 00:00:00",Conventional,0.957319607,1148436.73,173734.30,129158.38,2814.86,295163.07,232965.84,24825.61,14690.03,547566.11
Detroit,Weekly,"2021-01-10 00:00:00",Conventional,0.969230556,478801.18,83385.89,61857.28,51341.40,119387.27,111095.31,10.50,6320.29,162829.34
"Grand Rapids",Weekly,"2021-01-10 00:00:00",Conventional,1.329319354,192930.91,16295.98,48421.12,59197.80,51822.70,48960.36,0.00,2784.60,17193.30
Harrisburg/Scranton,Weekly,"2021-01-10 00:00:00",Conventional,1.039123450,377406.14,141133.48,106078.08,67.59,119594.76,109637.09,5484.15,3666.60,10532.23
Hartford/Springfield,Weekly,"2021-01-10 00:00:00",Conventional,1.263777344,377565.46,10684.05,268300.59,242.39,91772.24,86023.65,5172.30,0.00,6566.19
Houston,Weekly,"2021-01-10 00:00:00",Conventional,0.660376098,1335840.56,501337.19,275945.51,3296.64,277476.88,252988.74,88.20,22818.96,277784.35
Indianapolis,Weekly,"2021-01-10 00:00:00",Conventional,0.854016864,273738.26,54739.52,63830.26,2261.92,66336.45,56626.46,3778.03,4736.64,86570.12
Jacksonville,Weekly,"2021-01-10 00:00:00",Conventional,0.828247270,242656.58,108111.72,8599.67,90.54,72074.71,64570.15,7324.54,0.00,53779.95
"Las Vegas",Weekly,"2021-01-10 00:00:00",Conventional,0.861553396,427598.29,65727.18,34371.66,60.08,143705.19,122437.04,39.24,8431.94,183734.18
"Los Angeles",Weekly,"2021-01-10 00:00:00",Conventional,1.165011258,3215531.96,828119.18,63402.95,160634.21,743219.32,631377.01,30158.10,48904.48,1420156.30
Louisville,Weekly,"2021-01-10 00:00:00",Conventional,0.930041325,139853.83,26544.20,16282.03,43.70,39416.50,32691.02,4680.11,1160.09,57567.40
"Miami/Ft. Lauderdale",Weekly,"2021-01-10 00:00:00",Conventional,0.847361797,1036237.02,467979.75,36582.06,107.83,282214.63,253651.38,3571.97,24261.30,249352.75
Nashville,Weekly,"2021-01-10 00:00:00",Conventional,0.834076843,321598.25,107183.09,17945.20,178.00,86650.62,71439.93,10636.50,2351.84,109641.34
"Northern New England",Weekly,"2021-01-10 00:00:00",Conventional,1.125147920,536667.79,13147.45,363105.20,66.84,98526.87,84617.35,13544.54,0.00,61821.43
"New Orleans/Mobile",Weekly,"2021-01-10 00:00:00",Conventional,0.705855577,370570.86,143785.52,19845.44,55.86,148585.97,131492.73,3371.42,13614.30,58298.06
"New York",Weekly,"2021-01-10 00:00:00",Conventional,1.110213803,2040568.33,62295.79,1214946.86,931.80,687219.50,674342.41,11584.31,0.00,75174.38
Orlando,Weekly,"2021-01-10 00:00:00",Conventional,0.794400059,630781.74,262206.55,14885.26,130.44,220794.24,198293.97,10778.78,11336.85,132765.25
Peoria/Springfield,Weekly,"2021-01-10 00:00:00",Conventional,0.852060087,140457.31,37439.46,28794.90,388.15,39047.39,32865.02,3054.32,2822.45,34787.42
Philadelphia,Weekly,"2021-01-10 00:00:00",Conventional,0.964727954,701676.33,128393.10,247310.05,207.17,273259.87,264364.40,6114.15,529.20,52506.15
Phoenix/Tucson,Weekly,"2021-01-10 00:00:00",Conventional,0.715936812,1460379.23,447031.74,178376.87,4180.95,190993.05,139213.37,59.85,37866.08,639796.62
Pittsburgh,Weekly,"2021-01-10 00:00:00",Conventional,1.125969477,126210.18,30124.18,13941.77,8.98,43389.69,38869.53,128.10,4321.80,38745.56
Portland,Weekly,"2021-01-10 00:00:00",Conventional,1.017842705,778664.76,127667.59,110054.93,3733.05,96772.73,85966.80,7350.92,1844.52,440436.46
Providence,Weekly,"2021-01-10 00:00:00",Conventional,1.384932353,92706.08,3129.09,53566.82,32.38,18366.74,14657.11,3600.47,0.00,17611.05
Raleigh/Greensboro,Weekly,"2021-01-10 00:00:00",Conventional,0.905308131,506532.36,202887.77,67624.19,3734.18,192366.15,142483.98,16249.01,0.00,39920.07
Richmond/Norfolk,Weekly,"2021-01-10 00:00:00",Conventional,0.921268334,352397.86,103659.16,73103.41,698.44,85040.35,57045.92,75.21,9677.64,89896.50
Roanoke,Weekly,"2021-01-10 00:00:00",Conventional,0.859346954,205756.91,63151.48,28954.66,33.22,47879.41,31900.09,4680.64,4486.38,65738.14
Sacramento,Weekly,"2021-01-10 00:00:00",Conventional,1.106382187,568371.71,146071.62,173963.90,4912.45,106109.88,105809.76,69.30,0.00,137313.86
"San Diego",Weekly,"2021-01-10 00:00:00",Conventional,1.241231275,559618.65,103878.40,27271.79,17357.07,111104.44,98240.96,7339.50,4874.67,300006.95
"San Francisco",Weekly,"2021-01-10 00:00:00",Conventional,1.061591760,1047562.69,244664.64,199510.32,7802.06,143598.77,143127.97,25.20,0.00,451986.90
Seattle,Weekly,"2021-01-10 00:00:00",Conventional,1.153218624,725636.64,85771.72,108727.35,286.84,85456.98,75724.47,5438.87,2483.16,445393.75
"South Carolina",Weekly,"2021-01-10 00:00:00",Conventional,0.893278313,552924.16,211951.96,46821.83,1143.98,181361.53,142168.82,22359.62,832.69,111644.86
Spokane,Weekly,"2021-01-10 00:00:00",Conventional,0.931461584,104299.90,19869.44,16253.94,7.09,20069.56,17604.13,2273.91,0.00,48099.87
"St. Louis",Weekly,"2021-01-10 00:00:00",Conventional,0.830747769,253046.91,111723.35,18134.57,57.53,71078.70,65182.63,5780.25,0.00,52052.76
Syracuse,Weekly,"2021-01-10 00:00:00",Conventional,1.112929559,98787.39,9413.26,41005.17,850.09,43865.92,40652.44,3049.20,0.00,3652.95
Tampa,Weekly,"2021-01-10 00:00:00",Conventional,0.812673666,639882.30,247752.83,19448.21,18.40,192958.04,173211.36,83.74,19227.60,179704.82
Toledo,Weekly,"2021-01-10 00:00:00",Conventional,0.862460099,149684.67,28680.64,29900.58,8276.68,32944.77,27781.07,936.99,3593.55,49882.00
"West Tex/New Mexico",Weekly,"2021-01-10 00:00:00",Conventional,0.681992418,961438.67,316632.13,100965.45,12955.92,354759.93,307122.38,8891.89,38154.81,176125.23
Wichita,Weekly,"2021-01-10 00:00:00",Conventional,0.718662297,124890.11,31701.23,6107.24,16.11,37785.31,33156.28,2737.88,1435.73,49280.22
California,Weekly,"2021-01-10 00:00:00",Conventional,1.133327226,6913269.84,1779204.54,715265.64,216794.99,1357404.96,1220330.92,40987.01,56938.44,2844599.72
"Great Lakes",Weekly,"2021-01-10 00:00:00",Conventional,0.998266563,4285299.61,775484.75,801637.94,252635.14,1051552.97,946869.00,22199.42,72202.13,1403988.81
Midsouth,Weekly,"2021-01-10 00:00:00",Conventional,0.964635326,4291025.26,1345119.15,729713.20,14134.90,1402792.27,1106397.87,95057.42,52571.08,799265.75
Northeast,Weekly,"2021-01-10 00:00:00",Conventional,1.127282147,5873961.35,479831.30,3109362.91,7288.23,1848685.03,1744509.00,86180.13,12823.65,428793.88
