Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2021-01-04 00:00:00",Conventional,1.237368120,161850.33,7225.73,130204.01,76.41,19476.68,16623.19,2633.40,0.00,4867.50
Atlanta,Weekly,"2021-01-04 00:00:00",Conventional,0.816395018,780570.69,308199.17,45153.36,80.81,171244.48,156431.07,10715.51,2159.45,255892.88
Baltimore/Washington,Weekly,"2021-01-04 00:00:00",Conventional,1.039409638,1006837.64,220482.26,282498.61,3749.76,413855.38,384221.35,3.15,19318.95,86251.63
Birmingham/Montgomery,Weekly,"2021-01-04 00:00:00",Conventional,0.731857476,348845.24,177970.28,12901.64,10.01,93996.81,80416.64,11883.90,1260.49,63966.51
Boise,Weekly,"2021-01-04 00:00:00",Conventional,0.874297582,152240.40,39164.12,15398.73,1232.75,29772.49,24111.88,16.93,281.67,66672.30
Boston,Weekly,"2021-01-04 00:00:00",Conventional,1.273201647,623044.67,14642.26,372121.22,181.13,154109.93,132234.48,20888.00,0.00,81990.13
Buffalo/Rochester,Weekly,"2021-01-04 00:00:00",Conventional,1.012272650,201302.12,30482.25,60773.43,1802.31,104365.56,98599.24,3672.90,1597.05,3878.57
Charlotte,Weekly,"2021-01-04 00:00:00",Conventional,0.952500045,402939.91,152157.48,50128.38,4101.09,168420.19,133208.08,13236.96,447.30,28132.77
Chicago,Weekly,"2021-01-04 00:00:00",Conventional,1.098823045,925862.64,104614.48,174551.01,38351.80,250084.67,237724.87,3883.29,7812.00,358260.68
Cincinnati/Dayton,Weekly,"2021-01-04 00:00:00",Conventional,0.793308154,349949.49,54812.11,67640.42,4372.69,29919.11,24101.24,754.29,3676.12,193205.15
Columbus,Weekly,"2021-01-04 00:00:00",Conventional,0.795260730,297508.88,50051.11,55321.61,558.70,37631.57,32200.60,253.58,4351.84,153945.89
"Dallas/Ft. Worth",Weekly,"2021-01-04 00:00:00",Conventional,0.647222675,1613422.02,506303.66,270772.43,24499.53,434926.55,389292.79,1392.30,42593.67,376919.85
Denver,Weekly,"2021-01-04 00:00:00",Conventional,0.850325006,1168996.22,203293.93,140360.77,2664.79,235530.22,186149.48,17776.57,12807.42,587146.51
Detroit,Weekly,"2021-01-04 00:00:00",Conventional,0.801523405,591668.29,80626.67,98002.93,106996.38,93035.47,85879.35,39.90,6070.15,213006.84
"Grand Rapids",Weekly,"2021-01-04 00:00:00",Conventional,0.877533711,279386.29,20937.01,81616.42,112569.31,40844.97,38187.54,87.68,2450.70,23418.58
Harrisburg/Scranton,Weekly,"2021-01-04 00:00:00",Conventional,1.072283893,365697.02,143018.57,104386.19,93.57,108811.75,99107.11,6096.01,3398.85,9386.93
Hartford/Springfield,Weekly,"2021-01-04 00:00:00",Conventional,1.157940764,379908.98,9975.11,282127.51,392.84,81286.07,77148.42,3672.90,22.05,6127.45
Houston,Weekly,"2021-01-04 00:00:00",Conventional,0.635308857,1331361.36,469345.61,399669.28,2647.70,189867.31,167399.80,5508.30,15518.83,269831.46
Indianapolis,Weekly,"2021-01-04 00:00:00",Conventional,0.770142448,287617.01,50329.58,74769.91,2357.09,56841.16,47905.05,3945.51,4207.72,103319.27
Jacksonville,Weekly,"2021-01-04 00:00:00",Conventional,0.757617464,247075.75,107606.65,13227.95,56.52,63909.82,54654.83,9001.91,132.30,62274.81
"Las Vegas",Weekly,"2021-01-04 00:00:00",Conventional,0.737537451,465545.35,57997.49,50634.75,262.11,117725.10,95498.87,103.69,10988.32,238925.89
"Los Angeles",Weekly,"2021-01-04 00:00:00",Conventional,0.917450009,3618493.03,1000154.72,77034.65,198430.67,608636.07,528171.86,22976.89,35779.90,1734236.92
Louisville,Weekly,"2021-01-04 00:00:00",Conventional,0.872455334,147902.72,24216.92,25110.37,68.78,32094.53,26548.58,3871.88,1047.52,66412.11
"Miami/Ft. Lauderdale",Weekly,"2021-01-04 00:00:00",Conventional,0.778625022,1004953.80,472144.87,47940.87,88.99,246611.66,221993.81,4496.36,19615.05,238167.42
Nashville,Weekly,"2021-01-04 00:00:00",Conventional,0.800196820,313506.01,106661.68,20597.75,101.56,79466.55,64803.39,8764.88,3775.75,106678.47
"Northern New England",Weekly,"2021-01-04 00:00:00",Conventional,0.937388466,647812.66,14443.16,515104.23,85.52,65566.54,50425.17,14717.46,3.68,52613.20
"New Orleans/Mobile",Weekly,"2021-01-04 00:00:00",Conventional,0.627580223,346790.12,156811.81,31061.98,109.86,111320.02,95218.56,8202.34,7799.40,47486.45
"New York",Weekly,"2021-01-04 00:00:00",Conventional,1.040338974,1980681.63,56397.88,1129766.54,1689.32,727268.11,712740.35,12146.40,1502.55,65559.78
