Week,ASP*,Total Volume,4046,4225,4770,Total Bagged,Sml Bagged,Lrg Bagged,XLrg Bagged,region,type,year
12/27/2015,$0.95,27297984,9626901,10197890,1184340,6288852,4850404,1252626,185822,TOTAL U.S.,Conventional,2015
12/20/2015,$0.98,25083647,8710022,9329862,1201020,5842744,4618390,1025049,199305,TOTAL U.S.,Conventional,2015
12/13/2015,$0.93,28041335,9855054,10805839,1016163,6364280,4964462,1371440,28377,TOTAL U.S.,Conventional,2015
12/6/2015,$0.89,28800397,9405464,12160839,931831,6302263,5005077,1233956,63229,TOTAL U.S.,Conventional,2015
11/29/2015,$0.99,22617999,8094804,9003178,731008,4789009,3901953,856560,30496,TOTAL U.S.,Conventional,2015
11/22/2015,$0.96,25114228,8571850,10389880,804663,5347836,4178583,1137230,32023,TOTAL U.S.,Conventional,2015
11/15/2015,$0.92,28597756,9907981,11699788,815642,6174346,4854619,1283547,36180,TOTAL U.S.,Conventional,2015
11/8/2015,$0.97,28485716,9991330,12199657,1143215,5151514,4058501,1027702,65311,TOTAL U.S.,Conventional,2015
11/1/2015,$0.97,31047484,10138704,14229287,1410928,5268565,3966597,1246220,55748,TOTAL U.S.,Conventional,2015
10/25/2015,$1.04,26240072,8683959,11410478,1188119,4957516,3918658,999728,39130,TOTAL U.S.,Conventional,2015
10/18/2015,$0.99,29375124,9162094,14082540,1220251,4910239,3930198,952191,27849,TOTAL U.S.,Conventional,2015
10/11/2015,$1.00,29216198,8828341,13326573,1614283,5447001,4153478,1221305,72219,TOTAL U.S.,Conventional,2015
10/4/2015,$1.02,28243506,8353620,13775652,1209045,4905189,3664891,1189350,50948,TOTAL U.S.,Conventional,2015
9/27/2015,$1.03,27753508,8454209,13819913,1061979,4417407,3476493,886424,54491,TOTAL U.S.,Conventional,2015
9/20/2015,$1.02,29569087,9422275,13846045,1112405,5188361,3938275,1183732,66355,TOTAL U.S.,Conventional,2015
9/13/2015,$1.03,31245836,9875018,14888078,1118989,5363751,4072662,1226810,64279,TOTAL U.S.,Conventional,2015
9/6/2015,$1.02,33526480,12569277,14245598,1129771,5581833,4363708,1184889,33236,TOTAL U.S.,Conventional,2015
8/30/2015,$1.07,29761638,11650977,11995961,1060353,5054348,4316352,685816,52179,TOTAL U.S.,Conventional,2015
8/23/2015,$1.08,29699846,11283021,12551530,909284,4956010,4318011,612362,25637,TOTAL U.S.,Conventional,2015
8/16/2015,$1.05,31936856,12680252,12998327,1143365,5114912,4342839,703542,68531,TOTAL U.S.,Conventional,2015
8/9/2015,$1.05,33254912,13003371,13926693,1014521,5310327,4391462,888238,30628,TOTAL U.S.,Conventional,2015
8/2/2015,$1.09,30358468,12115234,12219014,984703,5039517,4322985,689176,27356,TOTAL U.S.,Conventional,2015
7/26/2015,$1.07,30652211,12196226,12009228,1017158,5429599,4627252,779808,22540,TOTAL U.S.,Conventional,2015
7/19/2015,$1.07,32324648,12742760,12605457,1154897,5821533,4757799,1013834,49900,TOTAL U.S.,Conventional,2015
7/12/2015,$1.07,31660032,12384449,12403360,980362,5891860,5067198,796786,27876,TOTAL U.S.,Conventional,2015
7/5/2015,$1.04,37943670,15643939,14213650,1342466,6743615,5803954,905205,34456,TOTAL U.S.,Conventional,2015
6/28/2015,$1.06,32408706,13299569,11505999,1045833,6557305,5690216,846752,20337,TOTAL U.S.,Conventional,2015
6/21/2015,$1.02,35734614,14699605,13244467,1326423,6464120,5517910,898027,48183,TOTAL U.S.,Conventional,2015
6/14/2015,$0.98,37026086,16383685,12821015,1085082,6736304,5893642,822400,20263,TOTAL U.S.,Conventional,2015
6/7/2015,$1.00,36549996,16529798,12582265,1144716,6293217,5304563,943996,44658,TOTAL U.S.,Conventional,2015
5/31/2015,$1.03,33720159,15503613,11599634,903908,5713003,4967232,726046,19726,TOTAL U.S.,Conventional,2015
5/24/2015,$1.04,35344183,16000108,12513821,899780,5930474,5094263,815629,20582,TOTAL U.S.,Conventional,2015
5/17/2015,$1.06,32027686,14615942,11003341,963550,5444854,4747545,660984,36326,TOTAL U.S.,Conventional,2015
5/10/2015,$1.02,36400887,16215329,13509065,858145,5818348,4991626,816629,10093,TOTAL U.S.,Conventional,2015
5/3/2015,$0.96,41291704,17787612,16602589,1118330,5783174,4647155,1110987,25031,TOTAL U.S.,Conventional,2015
4/26/2015,$1.07,30894158,13833715,10867403,889732,5303307,4584203,687179,31924,TOTAL U.S.,Conventional,2015
4/19/2015,$1.03,33091256,14251319,12277859,1016631,5545447,4696225,819935,29287,TOTAL U.S.,Conventional,2015
4/12/2015,$1.02,32046402,14793354,11210544,807942,5234561,4400469,826567,7525,TOTAL U.S.,Conventional,2015
4/5/2015,$1.06,31500669,13939014,11526980,871981,5162693,4477300,666515,18879,TOTAL U.S.,Conventional,2015
3/29/2015,$1.04,29982648,12524637,11541041,811273,5105697,4487887,610349,7461,TOTAL U.S.,Conventional,2015
3/22/2015,$1.01,32513551,13697406,12659785,1066386,5089974,4275071,762528,52375,TOTAL U.S.,Conventional,2015
3/15/2015,$1.04,29572226,13149989,10634071,871575,4916591,4287622,614905,14065,TOTAL U.S.,Conventional,2015
3/8/2015,$1.02,30094699,13013750,10973973,834009,5272967,4583727,673149,16091,TOTAL U.S.,Conventional,2015
